PSNR,init_snr,init_sd,iter,sum
-4.0558642286889475,-2.0,25.0,0.0,175620728.98448306
-4.0595958360230515,-2.0,25.0,8.0,175748160.0
-4.058381852195218,-2.0,25.0,16.0,175778864.0
-4.057025046548422,-2.0,25.0,32.0,175801056.0
-4.054818959433262,-2.0,25.0,64.0,175798224.0
-4.051653806695632,-2.0,25.0,128.0,175774000.0
-4.0486325276977775,-2.0,25.0,256.0,175749888.0
-4.046423027511485,-2.0,25.0,512.0,175736096.0
-4.044526013718425,-2.0,25.0,1024.0,175726000.0
-4.055922249891414,-2.0,20.0,0.0,175621805.33366844
-4.0596529663458885,-2.0,20.0,8.0,175749296.0
-4.058446248339125,-2.0,20.0,16.0,175780112.0
-4.057103540413346,-2.0,20.0,32.0,175802512.0
-4.054917980011449,-2.0,20.0,64.0,175800064.0
-4.051790058671749,-2.0,20.0,128.0,175776448.0
-4.04882742963901,-2.0,20.0,256.0,175753264.0
-4.046690296562146,-2.0,20.0,512.0,175740496.0
-4.04487468156046,-2.0,20.0,1024.0,175731344.0
-4.055916430695998,-2.0,15.0,0.0,175621612.7197949
-4.059619285127086,-2.0,15.0,8.0,175748512.0
-4.058410851901383,-2.0,15.0,16.0,175779200.0
-4.0570843436752595,-2.0,15.0,32.0,175801776.0
-4.054946576051384,-2.0,15.0,64.0,175799936.0
-4.05188316884874,-2.0,15.0,128.0,175777200.0
-4.048986422113015,-2.0,15.0,256.0,175754816.0
-4.046956693983718,-2.0,15.0,512.0,175743168.0
-4.045381162644327,-2.0,15.0,1024.0,175736496.0
-4.055618990993119,-2.0,10.0,0.0,175614688.9298535
-4.059386493865636,-2.0,10.0,8.0,175743472.0
-4.058161362802013,-2.0,10.0,16.0,175773792.0
-4.056772064818678,-2.0,10.0,32.0,175795152.0
-4.0545406653747476,-2.0,10.0,64.0,175791280.0
-4.051385561473503,-2.0,10.0,128.0,175765808.0
-4.048445311018176,-2.0,10.0,256.0,175740336.0
-4.046450824259112,-2.0,10.0,512.0,175724992.0
-4.0450539244401496,-2.0,10.0,1024.0,175713216.0
-4.056623480657206,-2.0,5.0,0.0,175632357.16075397
-4.060204619006031,-2.0,5.0,8.0,175759744.0
-4.058901685198296,-2.0,5.0,16.0,175788240.0
-4.057428592295117,-2.0,5.0,32.0,175807376.0
-4.055139487699577,-2.0,5.0,64.0,175801120.0
-4.052009590480926,-2.0,5.0,128.0,175773200.0
-4.0492966971132525,-2.0,5.0,256.0,175745408.0
-4.047970821643204,-2.0,5.0,512.0,175729728.0
-4.048051189256048,-2.0,5.0,1024.0,175720592.0
-4.056476701246782,-2.0,2.0,0.0,175626355.1324256
-4.059774898700325,-2.0,2.0,8.0,175751392.0
-4.058528554603115,-2.0,2.0,16.0,175780560.0
-4.057192270900181,-2.0,2.0,32.0,175800752.0
-4.055070774577324,-2.0,2.0,64.0,175794592.0
-4.052147539617249,-2.0,2.0,128.0,175765472.0
-4.049774460170826,-2.0,2.0,256.0,175735312.0
-4.049152674146671,-2.0,2.0,512.0,175715904.0
-4.050866109607031,-2.0,2.0,1024.0,175701776.0
-4.054660487421094,-2.0,0.0,0.0,175589643.08352864
-4.058138758808005,-2.0,0.0,8.0,175719248.0
-4.056935459425522,-2.0,0.0,16.0,175749184.0
-4.05559271099743,-2.0,0.0,32.0,175769072.0
-4.053470432966532,-2.0,0.0,64.0,175761968.0
-4.050740509121159,-2.0,0.0,128.0,175733232.0
-4.049128313706786,-2.0,0.0,256.0,175708272.0
-4.050067587515026,-2.0,0.0,512.0,175699184.0
-4.054465113143026,-2.0,0.0,1024.0,175698400.0
