PSNR,init_snr,init_sd,iter,sum
-4.039197973220906,-2.0,25.0,0.0,28139026.04240196
-4.046261137618561,-2.0,25.0,8.0,28215786.0
-4.042877151081711,-2.0,25.0,16.0,28217740.0
-4.037580779601205,-2.0,25.0,32.0,28211384.0
-4.032356597518071,-2.0,25.0,64.0,28202524.0
-4.027589354519617,-2.0,25.0,128.0,28193836.0
-4.023851375534994,-2.0,25.0,256.0,28186382.0
-4.021568871841915,-2.0,25.0,512.0,28181004.0
-4.0203058726643395,-2.0,25.0,1024.0,28175682.0
-4.039204206672482,-2.0,20.0,0.0,28139012.857009083
-4.046225796162158,-2.0,20.0,8.0,28215732.0
-4.04282573218109,-2.0,20.0,16.0,28217636.0
-4.037499539499401,-2.0,20.0,32.0,28211168.0
-4.032239804179028,-2.0,20.0,64.0,28202150.0
-4.027444693385998,-2.0,20.0,128.0,28193244.0
-4.023741816491367,-2.0,20.0,256.0,28185604.0
-4.021619049653166,-2.0,20.0,512.0,28180180.0
-4.02070739566941,-2.0,20.0,1024.0,28174980.0
-4.03933071860663,-2.0,15.0,0.0,28139073.829326734
-4.046290836099036,-2.0,15.0,8.0,28215786.0
-4.042926191662505,-2.0,15.0,16.0,28217756.0
-4.037649520038848,-2.0,15.0,32.0,28211386.0
-4.032409630191246,-2.0,15.0,64.0,28202332.0
-4.027619777484983,-2.0,15.0,128.0,28193198.0
-4.023959439241057,-2.0,15.0,256.0,28185154.0
-4.022088542510804,-2.0,15.0,512.0,28179280.0
-4.021909352752589,-2.0,15.0,1024.0,28173568.0
-4.039345528522402,-2.0,10.0,0.0,28138506.299789675
-4.045994436163081,-2.0,10.0,8.0,28214816.0
-4.042678902604967,-2.0,10.0,16.0,28216834.0
-4.0375040032807155,-2.0,10.0,32.0,28210596.0
-4.0324668332475575,-2.0,10.0,64.0,28201724.0
-4.028112480542939,-2.0,10.0,128.0,28192890.0
-4.02540520431198,-2.0,10.0,256.0,28185508.0
-4.025358651251939,-2.0,10.0,512.0,28180824.0
-4.028530279955459,-2.0,10.0,1024.0,28176564.0
-4.040756974418359,-2.0,5.0,0.0,28140807.472304046
-4.046772814043277,-2.0,5.0,8.0,28217136.0
-4.043411514945853,-2.0,5.0,16.0,28218772.0
-4.038269325152737,-2.0,5.0,32.0,28211924.0
-4.033486827911619,-2.0,5.0,64.0,28202428.0
-4.029820105049754,-2.0,5.0,128.0,28192894.0
-4.0288007396566545,-2.0,5.0,256.0,28184640.0
-4.032642608757843,-2.0,5.0,512.0,28179502.0
-4.044436667534813,-2.0,5.0,1024.0,28176470.0
-4.03974966485506,-2.0,2.0,0.0,28135730.02277078
-4.045583066059544,-2.0,2.0,8.0,28213142.0
-4.042534445991394,-2.0,2.0,16.0,28215252.0
-4.037802173483363,-2.0,2.0,32.0,28208924.0
-4.033700686598735,-2.0,2.0,64.0,28199866.0
-4.0315458320415996,-2.0,2.0,128.0,28191096.0
-4.03381833417176,-2.0,2.0,256.0,28184380.0
-4.043876280771327,-2.0,2.0,512.0,28180842.0
-4.067629180312437,-2.0,2.0,1024.0,28178366.0
-4.04277144269722,-2.0,0.0,0.0,28140718.877838343
-4.0470819288583355,-2.0,0.0,8.0,28217390.0
-4.044073880327636,-2.0,0.0,16.0,28219064.0
-4.039718365809286,-2.0,0.0,32.0,28212408.0
-4.03663377677629,-2.0,0.0,64.0,28203456.0
-4.03660192865487,-2.0,0.0,128.0,28195196.0
-4.042859615224473,-2.0,0.0,256.0,28188394.0
-4.060076008158104,-2.0,0.0,512.0,28182296.0
-4.0972266107970015,-2.0,0.0,1024.0,28172516.0
-2.096401322841162,-1.0,25.0,0.0,22930950.462741055
-2.098683121899097,-1.0,25.0,8.0,23006372.0
-2.0932731587806495,-1.0,25.0,16.0,23008598.0
-2.0858536393331937,-1.0,25.0,32.0,23002764.0
-2.0788461031422854,-1.0,25.0,64.0,22994414.0
-2.0724902451742615,-1.0,25.0,128.0,22986052.0
-2.06757918539863,-1.0,25.0,256.0,22978812.0
-2.0647478060189646,-1.0,25.0,512.0,22973646.0
-2.06373906483922,-1.0,25.0,1024.0,22968690.0
