PSNR,init_SNR,init_sd,iter
5.545462220995322,0.0,25.0,0.0
5.5560399525417745,0.0,25.0,8.0
5.578875080960577,0.0,25.0,16.0
5.600915075794326,0.0,25.0,32.0
5.6229233380322885,0.0,25.0,64.0
5.646978952682958,0.0,25.0,128.0
5.67033914262749,0.0,25.0,256.0
5.689372800937024,0.0,25.0,512.0
5.705813891314695,0.0,25.0,1024.0
5.545504967561944,0.0,20.0,0.0
5.556075074003349,0.0,20.0,8.0
5.578904993492265,0.0,20.0,16.0
5.6009549978462845,0.0,20.0,32.0
5.622969407364683,0.0,20.0,64.0
5.647011330473097,0.0,20.0,128.0
5.6703311297624275,0.0,20.0,256.0
5.689283770105847,0.0,20.0,512.0
5.705526605869259,0.0,20.0,1024.0
5.545199712603592,0.0,15.0,0.0
5.555703874029442,0.0,15.0,8.0
5.578555372999132,0.0,15.0,16.0
5.600643024174781,0.0,15.0,32.0
5.622722223874495,0.0,15.0,64.0
5.646823542650288,0.0,15.0,128.0
5.670131814501626,0.0,15.0,256.0
5.688952309781144,0.0,15.0,512.0
5.704822862072608,0.0,15.0,1024.0
5.545197685337472,0.0,10.0,0.0
5.555914102970121,0.0,10.0,8.0
5.578707378450867,0.0,10.0,16.0
5.600710049803279,0.0,10.0,32.0
5.622633062941899,0.0,10.0,64.0
5.646468909811021,0.0,10.0,128.0
5.669356675278698,0.0,10.0,256.0
5.687394433083749,0.0,10.0,512.0
5.701585797098627,0.0,10.0,1024.0
5.544515185909247,0.0,5.0,0.0
5.555669731078563,0.0,5.0,8.0
5.578574005639366,0.0,5.0,16.0
5.600620846804877,0.0,5.0,32.0
5.622322004687847,0.0,5.0,64.0
5.64548933726622,0.0,5.0,128.0
5.666876958897377,0.0,5.0,256.0
5.6817062426696365,0.0,5.0,512.0
5.689086098005558,0.0,5.0,1024.0
5.543019743401789,0.0,2.0,0.0
5.554274001934051,0.0,2.0,8.0
5.576913562892626,0.0,2.0,16.0
5.5986248545239725,0.0,2.0,32.0
5.620059082698975,0.0,2.0,64.0
5.64269028253853,0.0,2.0,128.0
5.662351648893758,0.0,2.0,256.0
5.673218220358105,0.0,2.0,512.0
5.672232095419724,0.0,2.0,1024.0
5.545146563811903,0.0,0.0,0.0
5.556778538645344,0.0,0.0,8.0
5.579449829915014,0.0,0.0,16.0
5.601014635175371,0.0,0.0,32.0
5.621851001875787,0.0,0.0,64.0
5.642999817153317,0.0,0.0,128.0
5.659446293600567,0.0,0.0,256.0
5.663792554455308,0.0,0.0,512.0
5.650020529736998,0.0,0.0,1024.0
7.287229696636668,1.0,25.0,0.0
7.310553594242128,1.0,25.0,8.0
7.347003538880562,1.0,25.0,16.0
7.382322599827295,1.0,25.0,32.0
7.416654927094801,1.0,25.0,64.0
7.45309281064634,1.0,25.0,128.0
7.488671917662797,1.0,25.0,256.0
7.5180910420052784,1.0,25.0,512.0
7.543239241614184,1.0,25.0,1024.0
7.2871852128621475,1.0,20.0,0.0
7.310445464292346,1.0,20.0,8.0
7.346873868474408,1.0,20.0,16.0
7.382159931659751,1.0,20.0,32.0
7.416457278436718,1.0,20.0,64.0
7.452899158952131,1.0,20.0,128.0
7.488542134181667,1.0,20.0,256.0
7.518013638444341,1.0,20.0,512.0
7.543097796727047,1.0,20.0,1024.0
7.28705063089566,1.0,15.0,0.0
7.310369117402029,1.0,15.0,8.0
7.3468060877574795,1.0,15.0,16.0
7.382103110653525,1.0,15.0,32.0
7.416382788189253,1.0,15.0,64.0
7.452680225915879,1.0,15.0,128.0
7.487985365192367,1.0,15.0,256.0
7.516883780146256,1.0,15.0,512.0
7.540905412042495,1.0,15.0,1024.0
7.287578873263327,1.0,10.0,0.0
7.310818085600729,1.0,10.0,8.0
7.347336942216139,1.0,10.0,16.0
7.3826594685793445,1.0,10.0,32.0
7.416934196024681,1.0,10.0,64.0
7.453197756107807,1.0,10.0,128.0
7.488222830044053,1.0,10.0,256.0
7.516151770504619,1.0,10.0,512.0
7.537668563252713,1.0,10.0,1024.0
7.286032790574252,1.0,5.0,0.0
7.310145198617733,1.0,5.0,8.0
7.346520241589188,1.0,5.0,16.0
7.381704270396386,1.0,5.0,32.0
7.415730772320661,1.0,5.0,64.0
7.451225733893389,1.0,5.0,128.0
7.484217729016029,1.0,5.0,256.0
7.507835218967531,1.0,5.0,512.0
7.520499288340056,1.0,5.0,1024.0
7.286357182087886,1.0,2.0,0.0
7.3111881813490225,1.0,2.0,8.0
7.347238207953115,1.0,2.0,16.0
7.381937851168017,1.0,2.0,32.0
7.415045175802073,1.0,2.0,64.0
7.4485870784105535,1.0,2.0,128.0
7.47758656940135,1.0,2.0,256.0
7.4934347226248015,1.0,2.0,512.0
7.490445506374387,1.0,2.0,1024.0
7.28448364152447,1.0,0.0,0.0
7.309896088838823,1.0,0.0,8.0
7.345851007851511,1.0,0.0,16.0
7.379914396645217,1.0,0.0,32.0
7.411566842663666,1.0,0.0,64.0
7.442388869712087,1.0,0.0,128.0
7.466416981822919,1.0,0.0,256.0
7.473164208972426,1.0,0.0,512.0
7.452494518957337,1.0,0.0,1024.0
12.580245638387435,5.0,25.0,0.0
12.735088321299607,5.0,25.0,8.0
12.88932894343122,5.0,25.0,16.0
13.047282088835516,5.0,25.0,32.0
13.198175139471553,5.0,25.0,64.0
13.348956724041464,5.0,25.0,128.0
13.501043394882384,5.0,25.0,256.0
13.634934547098048,5.0,25.0,512.0
13.745367427957348,5.0,25.0,1024.0
12.580158306896339,5.0,20.0,0.0
12.734891836699235,5.0,20.0,8.0
12.889181778361412,5.0,20.0,16.0
13.04718901302965,5.0,20.0,32.0
13.198039093313444,5.0,20.0,64.0
13.348579293950698,5.0,20.0,128.0
13.500119240375382,5.0,20.0,256.0
13.632878601720396,5.0,20.0,512.0
13.74102743682269,5.0,20.0,1024.0
12.579957184790624,5.0,15.0,0.0
12.735172395221838,5.0,15.0,8.0
12.889401867880865,5.0,15.0,16.0
13.047239314779961,5.0,15.0,32.0
13.197869395876143,5.0,15.0,64.0
13.34815715396427,5.0,15.0,128.0
13.499313377116415,5.0,15.0,256.0
13.631339531999103,5.0,15.0,512.0
13.737443838238729,5.0,15.0,1024.0
12.579305047651715,5.0,10.0,0.0
12.735319846977898,5.0,10.0,8.0
12.889226653280234,5.0,10.0,16.0
13.046388369732941,5.0,10.0,32.0
13.195740770075012,5.0,10.0,64.0
13.34367202170937,5.0,10.0,128.0
13.490267746204934,5.0,10.0,256.0
13.613606612704789,5.0,10.0,512.0
13.703029734599328,5.0,10.0,1024.0
12.577629423263417,5.0,5.0,0.0
12.735249782884255,5.0,5.0,8.0
12.889372829944243,5.0,5.0,16.0
13.04709422832152,5.0,5.0,32.0
13.197231407011671,5.0,5.0,64.0
13.344623936971145,5.0,5.0,128.0
13.485550603944008,5.0,5.0,256.0
13.591671841429713,5.0,5.0,512.0
13.641729729795319,5.0,5.0,1024.0
12.574842298686935,5.0,2.0,0.0
12.735716367352675,5.0,2.0,8.0
12.88848396705082,5.0,2.0,16.0
13.043562321136719,5.0,2.0,32.0
13.189013949495223,5.0,2.0,64.0
13.328116664617905,5.0,2.0,128.0
13.453563358018084,5.0,2.0,256.0
13.529820373618024,5.0,2.0,512.0
13.518040241070981,5.0,2.0,1024.0
12.567122042201431,5.0,0.0,0.0
12.73322350885735,5.0,0.0,8.0
12.885568889489086,5.0,0.0,16.0
13.039431385139618,5.0,0.0,32.0
13.181377359801408,5.0,0.0,64.0
13.311606073523564,5.0,0.0,128.0
13.41771845767163,5.0,0.0,256.0
13.457631645270515,5.0,0.0,512.0
13.38121715462898,5.0,0.0,1024.0
14.805768279838157,10.0,25.0,0.0
15.169394550968276,10.0,25.0,8.0
15.489105724390825,10.0,25.0,16.0
15.849609843083908,10.0,25.0,32.0
16.218920851399872,10.0,25.0,64.0
16.586221309279694,10.0,25.0,128.0
16.96849690404268,10.0,25.0,256.0
17.34850663509599,10.0,25.0,512.0
17.652795048556285,10.0,25.0,1024.0
14.805617509473052,10.0,20.0,0.0
15.169357735875785,10.0,20.0,8.0
15.48894301370571,10.0,20.0,16.0
15.849237346054606,10.0,20.0,32.0
16.218279150715308,10.0,20.0,64.0
16.585249399674353,10.0,20.0,128.0
16.96684995469729,10.0,20.0,256.0
17.34466656592941,10.0,20.0,512.0
17.643584867291192,10.0,20.0,1024.0
14.806154863713552,10.0,15.0,0.0
15.170125618302775,10.0,15.0,8.0
15.489797763206091,10.0,15.0,16.0
15.850021518822325,10.0,15.0,32.0
16.218990460494844,10.0,15.0,64.0
16.586150968957668,10.0,15.0,128.0
16.967889194372678,10.0,15.0,256.0
17.344624684614807,10.0,15.0,512.0
17.637910356223014,10.0,15.0,1024.0
14.8044956027867,10.0,10.0,0.0
15.167398619161448,10.0,10.0,8.0
15.486701709062071,10.0,10.0,16.0
15.846435183542994,10.0,10.0,32.0
16.213921149505435,10.0,10.0,64.0
16.577270964018528,10.0,10.0,128.0
16.95015120334606,10.0,10.0,256.0
17.30765191434302,10.0,10.0,512.0
17.563453614600377,10.0,10.0,1024.0
14.80307098211615,10.0,5.0,0.0
15.172102152294684,10.0,5.0,8.0
15.491910890256428,10.0,5.0,16.0
15.851484881976157,10.0,5.0,32.0
16.21680576420033,10.0,5.0,64.0
16.572123475118815,10.0,5.0,128.0
16.923550665917812,10.0,5.0,256.0
17.23231235585984,10.0,5.0,512.0
17.3841390106046,10.0,5.0,1024.0
14.795992359060314,10.0,2.0,0.0
15.1710133290387,10.0,2.0,8.0
15.488714568585191,10.0,2.0,16.0
15.843390851687937,10.0,2.0,32.0
16.199315673864632,10.0,2.0,64.0
16.53627348554764,10.0,2.0,128.0
16.84861225218672,10.0,2.0,256.0
17.076828256589543,10.0,2.0,512.0
17.07487154902183,10.0,2.0,1024.0
14.789946252164675,10.0,0.0,0.0
15.168632096011148,10.0,0.0,8.0
15.485723976691048,10.0,0.0,16.0
15.839148053744921,10.0,0.0,32.0
16.19074287231235,10.0,0.0,64.0
16.51677069618254,10.0,0.0,128.0
16.803397504359477,10.0,0.0,256.0
16.971709893770512,10.0,0.0,512.0
16.85614185875915,10.0,0.0,1024.0
15.1201322973921,20.0,25.0,0.0
15.59478234472964,20.0,25.0,8.0
16.002261244149338,20.0,25.0,16.0
16.513489835148544,20.0,25.0,32.0
17.113431857070086,20.0,25.0,64.0
17.795168082451795,20.0,25.0,128.0
18.557843561429056,20.0,25.0,256.0
19.307304801383914,20.0,25.0,512.0
19.63282158596172,20.0,25.0,1024.0
15.120309165363746,20.0,20.0,0.0
15.595115185476232,20.0,20.0,8.0
16.002908975583612,20.0,20.0,16.0
16.514868567048943,20.0,20.0,32.0
17.116055685592833,20.0,20.0,64.0
17.79935603185041,20.0,20.0,128.0
18.563745974550912,20.0,20.0,256.0
19.315730392248597,20.0,20.0,512.0
19.647115915623065,20.0,20.0,1024.0
15.119264377888321,20.0,15.0,0.0
15.594903850178937,20.0,15.0,8.0
16.002795438208786,20.0,15.0,16.0
16.514626392482683,20.0,15.0,32.0
17.115426101567923,20.0,15.0,64.0
17.797947339088694,20.0,15.0,128.0
18.56094585741819,20.0,15.0,256.0
19.310872253835743,20.0,15.0,512.0
19.635827852764123,20.0,15.0,1024.0
15.119303749517364,20.0,10.0,0.0
15.59474204873634,20.0,10.0,8.0
16.00237172671513,20.0,10.0,16.0
16.514083924839134,20.0,10.0,32.0
17.11407730019888,20.0,10.0,64.0
17.793131498950743,20.0,10.0,128.0
18.544873072335676,20.0,10.0,256.0
19.25022974859027,20.0,10.0,512.0
19.42434068767777,20.0,10.0,1024.0
15.113732280016176,20.0,5.0,0.0
15.59341679577011,20.0,5.0,8.0
16.000269661350515,20.0,5.0,16.0
16.509743203589576,20.0,5.0,32.0
17.103691604314214,20.0,5.0,64.0
17.76625201146215,20.0,5.0,128.0
18.472689790651412,20.0,5.0,256.0
19.070446819932847,20.0,5.0,512.0
19.05910879933668,20.0,5.0,1024.0
15.111481937163491,20.0,2.0,0.0
15.594113664181046,20.0,2.0,8.0
15.999297171273067,20.0,2.0,16.0
16.504535886270663,20.0,2.0,32.0
17.087429171164125,20.0,2.0,64.0
17.72621929671125,20.0,2.0,128.0
18.385485866037993,20.0,2.0,256.0
18.879959173417966,20.0,2.0,512.0
18.649666931649882,20.0,2.0,1024.0
15.102664372436532,20.0,0.0,0.0
15.59227486222362,20.0,0.0,8.0
15.994612348901608,20.0,0.0,16.0
16.493923895767463,20.0,0.0,32.0
17.064690403375007,20.0,0.0,64.0
17.673141256977512,20.0,0.0,128.0
18.24194575873775,20.0,0.0,256.0
18.485688563388603,20.0,0.0,512.0
17.801343387408494,20.0,0.0,1024.0
15.121492852085648,30.0,25.0,0.0
15.60844298725157,30.0,25.0,8.0
16.025720820242174,30.0,25.0,16.0
16.56110853823065,30.0,25.0,32.0
17.211847057551342,30.0,25.0,64.0
17.990193755724015,30.0,25.0,128.0
18.90293545191323,30.0,25.0,256.0
19.770937245593924,30.0,25.0,512.0
19.898581629268126,30.0,25.0,1024.0
15.12190678285281,30.0,20.0,0.0
15.60849359360304,30.0,20.0,8.0
16.025280260935222,30.0,20.0,16.0
16.559723885865026,30.0,20.0,32.0
17.20929543976983,30.0,20.0,64.0
17.98746912184304,30.0,20.0,128.0
18.90507701814725,30.0,20.0,256.0
19.795954176211577,30.0,20.0,512.0
19.988692540194258,30.0,20.0,1024.0
15.120120895905526,30.0,15.0,0.0
15.607611152721056,30.0,15.0,8.0
16.02430283402042,30.0,15.0,16.0
16.55906590812306,30.0,15.0,32.0
17.20984776153133,30.0,15.0,64.0
17.99029975417944,30.0,15.0,128.0
18.91191838425687,30.0,15.0,256.0
19.80579873036798,30.0,15.0,512.0
19.98106470601393,30.0,15.0,1024.0
15.120334611437015,30.0,10.0,0.0
15.607766029720661,30.0,10.0,8.0
16.02440029514168,30.0,10.0,16.0
16.55902865258735,30.0,10.0,32.0
17.20847333319114,30.0,10.0,64.0
17.9783606365659,30.0,10.0,128.0
18.84820577765785,30.0,10.0,256.0
19.54487509593539,30.0,10.0,512.0
19.195996495665778,30.0,10.0,1024.0
15.115617556976794,30.0,5.0,0.0
15.607024706408588,30.0,5.0,8.0
16.023099861696057,30.0,5.0,16.0
16.553152425621622,30.0,5.0,32.0
17.184781308966937,30.0,5.0,64.0
17.90037747571222,30.0,5.0,128.0
18.62107144660672,30.0,5.0,256.0
18.926409527639983,30.0,5.0,512.0
17.933618291398716,30.0,5.0,1024.0
15.112220093067382,30.0,2.0,0.0
15.606813716165192,30.0,2.0,8.0
16.020900876211893,30.0,2.0,16.0
16.548680156471946,30.0,2.0,32.0
17.179358125841347,30.0,2.0,64.0
17.88651210935248,30.0,2.0,128.0
18.54935341715874,30.0,2.0,256.0
18.6348819747057,30.0,2.0,512.0
17.230521037403477,30.0,2.0,1024.0
15.10365643975481,30.0,0.0,0.0
15.60703611991575,30.0,0.0,8.0
16.02285883195529,30.0,0.0,16.0
16.550145231667827,30.0,0.0,32.0
17.16723291177817,30.0,0.0,64.0
17.830509250307465,30.0,0.0,128.0
18.372886946095377,30.0,0.0,256.0
18.191237469088172,30.0,0.0,512.0
16.585496317528637,30.0,0.0,1024.0
15.121749384384191,40.0,25.0,0.0
15.609943222204997,40.0,25.0,8.0
16.02827572229944,40.0,25.0,16.0
16.56678738572798,40.0,25.0,32.0
17.224777661010275,40.0,25.0,64.0
18.01708584895004,40.0,25.0,128.0
18.95271090027663,40.0,25.0,256.0
19.841880763300722,40.0,25.0,512.0
19.951344195591066,40.0,25.0,1024.0
15.12045905282501,40.0,20.0,0.0
15.609984894222286,40.0,20.0,8.0
16.028626505800958,40.0,20.0,16.0
16.567709760127958,40.0,20.0,32.0
17.22654197773538,40.0,20.0,64.0
18.019504406195335,40.0,20.0,128.0
18.952785213144764,40.0,20.0,256.0
19.824980618428285,40.0,20.0,512.0
19.871314412745875,40.0,20.0,1024.0
15.12041112178986,40.0,15.0,0.0
15.609885190728532,40.0,15.0,8.0
16.028519432251166,40.0,15.0,16.0
16.566946680453064,40.0,15.0,32.0
17.225066888185296,40.0,15.0,64.0
18.01909046865084,40.0,15.0,128.0
18.947265196554536,40.0,15.0,256.0
19.750485759884874,40.0,15.0,512.0
19.543764615935267,40.0,15.0,1024.0
15.12022903426573,40.0,10.0,0.0
15.609544425789368,40.0,10.0,8.0
16.028539147182688,40.0,10.0,16.0
16.56952660632472,40.0,10.0,32.0
17.231914121581255,40.0,10.0,64.0
18.027207613474673,40.0,10.0,128.0
18.954232401477253,40.0,10.0,256.0
19.772522296848337,40.0,10.0,512.0
19.609071268497473,40.0,10.0,1024.0
15.11448911220953,40.0,5.0,0.0
15.607324552283243,40.0,5.0,8.0
16.02194881068025,40.0,5.0,16.0
16.55104874305573,40.0,5.0,32.0
17.189254666134758,40.0,5.0,64.0
17.92070587239647,40.0,5.0,128.0
18.630386823544413,40.0,5.0,256.0
18.754281193342326,40.0,5.0,512.0
17.368429493145747,40.0,5.0,1024.0
15.108545289001057,40.0,2.0,0.0
15.611204672393002,40.0,2.0,8.0
16.032791505286305,40.0,2.0,16.0
16.57645799985004,40.0,2.0,32.0
17.237145650314673,40.0,2.0,64.0
17.996052647412853,40.0,2.0,128.0
18.71807821061114,40.0,2.0,256.0
18.753842203177403,40.0,2.0,512.0
17.133160497903962,40.0,2.0,1024.0
15.10299884206364,40.0,0.0,0.0
15.611800021373474,40.0,0.0,8.0
16.0340795287788,40.0,0.0,16.0
16.573260069598255,40.0,0.0,32.0
17.207450712427995,40.0,0.0,64.0
17.86106900723978,40.0,0.0,128.0
18.218644871064033,40.0,0.0,256.0
17.414894561154874,40.0,0.0,512.0
15.162650606521666,40.0,0.0,1024.0
15.121376389905521,50.0,25.0,0.0
15.610465540390505,50.0,25.0,8.0
16.02941519232363,50.0,25.0,16.0
16.569299073994188,50.0,25.0,32.0
17.230248929259748,50.0,25.0,64.0
18.027620978914598,50.0,25.0,128.0
18.971812099120548,50.0,25.0,256.0
19.871095376253372,50.0,25.0,512.0
19.969735618632008,50.0,25.0,1024.0
15.121178882830218,50.0,20.0,0.0
15.61004447046739,50.0,20.0,8.0
16.028189050508757,50.0,20.0,16.0
16.566013311940754,50.0,20.0,32.0
17.223044492444288,50.0,20.0,64.0
18.013754476967534,50.0,20.0,128.0
18.946316094443173,50.0,20.0,256.0
19.829482691499805,50.0,20.0,512.0
19.93118397885629,50.0,20.0,1024.0
15.120538904160966,50.0,15.0,0.0
15.609760178746171,50.0,15.0,8.0
16.027444424157714,50.0,15.0,16.0
16.564319833429114,50.0,15.0,32.0
17.21816248523522,50.0,15.0,64.0
17.9965555728024,50.0,15.0,128.0
18.882671105981423,50.0,15.0,256.0
19.60326221484123,50.0,15.0,512.0
19.321524388205397,50.0,15.0,1024.0
15.12031574380357,50.0,10.0,0.0
15.611856843177321,50.0,10.0,8.0
16.031719181122877,50.0,10.0,16.0
16.572198211517133,50.0,10.0,32.0
17.231061269660696,50.0,10.0,64.0
18.017286000620864,50.0,10.0,128.0
18.916920651424636,50.0,10.0,256.0
19.648721729399576,50.0,10.0,512.0
19.31173471340395,50.0,10.0,1024.0
15.11455044224367,50.0,5.0,0.0
15.611233388079409,50.0,5.0,8.0
16.031929066376613,50.0,5.0,16.0
16.573450044739154,50.0,5.0,32.0
17.230040040671163,50.0,5.0,64.0
17.98517900808603,50.0,5.0,128.0
18.691165799472202,50.0,5.0,256.0
18.583605030626998,50.0,5.0,512.0
16.71369185652481,50.0,5.0,1024.0
15.11211692974054,50.0,2.0,0.0
15.608363376014129,50.0,2.0,8.0
16.02465974934508,50.0,2.0,16.0
16.554613255261586,50.0,2.0,32.0
17.17659660365145,50.0,2.0,64.0
17.829443924731727,50.0,2.0,128.0
18.250143180774927,50.0,2.0,256.0
17.594275965921746,50.0,2.0,512.0
15.352402320214143,50.0,2.0,1024.0
15.104497345368875,50.0,0.0,0.0
15.606747398249857,50.0,0.0,8.0
